Payment_Mode,Total_Transactions_count,Total_Amount,Quarter,Year,State
Merchant payments,2883209,2378084375.199477,2,2021,himachal-pradesh
Financial Services,14642,16428390.623736272,2,2021,himachal-pradesh
Others,28918,19788385.405835293,2,2021,himachal-pradesh
Peer-to-peer payments,4455153,16560383923.20486,3,2021,himachal-pradesh
Merchant payments,4198808,3524434949.634083,3,2021,himachal-pradesh
Recharge & bill payments,3359406,1178802736.5280352,3,2021,himachal-pradesh
Financial Services,14497,22805774.60035712,3,2021,himachal-pradesh
Others,36303,23834687.160697922,3,2021,himachal-pradesh
Merchant payments,6062931,5228613146.743451,4,2021,himachal-pradesh
Peer-to-peer payments,5323397,19568394324.5848,4,2021,himachal-pradesh
Recharge & bill payments,3211367,1278824361.837138,4,2021,himachal-pradesh
Financial Services,18198,24809740.714031782,4,2021,himachal-pradesh
Others,50971,35578926.74639452,4,2021,himachal-pradesh
Merchant payments,7030946,5558905677.966259,1,2022,himachal-pradesh
Peer-to-peer payments,5718936,19473276901.33196,1,2022,himachal-pradesh
Recharge & bill payments,3271665,1429960686.766947,1,2022,himachal-pradesh
Financial Services,19314,24442138.153999712,1,2022,himachal-pradesh
Others,47319,31862035.7136404,1,2022,himachal-pradesh
Merchant payments,10591420,7697399368.08964,2,2022,himachal-pradesh
Peer-to-peer payments,7109948,24407668318.014187,2,2022,himachal-pradesh
Recharge & bill payments,3520538,1553155243.3951051,2,2022,himachal-pradesh
Financial Services,16901,20627276.079190243,2,2022,himachal-pradesh
Others,52564,30257752.66416522,2,2022,himachal-pradesh
Merchant payments,12686960,8511266152.669347,3,2022,himachal-pradesh
Peer-to-peer payments,8330778,27039659316.468132,3,2022,himachal-pradesh
Recharge & bill payments,4083168,1780405740.394115,3,2022,himachal-pradesh
Financial Services,21293,22686931.87064045,3,2022,himachal-pradesh
Others,42669,26764547.13816883,3,2022,himachal-pradesh
Merchant payments,15297492,10280295883.65635,4,2022,himachal-pradesh
Peer-to-peer payments,9284824,29629346091.977352,4,2022,himachal-pradesh
Recharge & bill payments,3907023,1810538524.3215191,4,2022,himachal-pradesh
Financial Services,24342,31775337.43636562,4,2022,himachal-pradesh
Others,41455,27387394.98209099,4,2022,himachal-pradesh
Recharge & bill payments,72550406,14472713558.65257,1,2018,india
Peer-to-peer payments,46982705,147245883542.774,1,2018,india
Merchant payments,5368669,4656678915.140091,1,2018,india
Financial Services,3762820,815853105.1000278,1,2018,india
Others,5761576,4643217301.269438,1,2018,india
Recharge & bill payments,92033715,24351225616.36898,2,2018,india
Peer-to-peer payments,74558816,264767671095.3184,2,2018,india
Merchant payments,10613941,9052859939.339659,2,2018,india
Financial Services,5186569,1176991419.239996,2,2018,india
Others,4973199,5027454207.140578,2,2018,india
Peer-to-peer payments,202021587,425967421714.0399,3,2018,india
Recharge & bill payments,102290514,31364311860.39459,3,2018,india
Merchant payments,25175938,12433150984.830221,3,2018,india
Financial Services,6218596,891447809.4200314,3,2018,india
Others,5594554,4449556277.549749,3,2018,india
Peer-to-peer payments,200235002,594995709377.7327,4,2018,india
Recharge & bill payments,131917248,39578607327.024284,4,2018,india
Merchant payments,71498510,30497289208.33978,4,2018,india
Financial Services,5216165,868584631.590013,4,2018,india
Others,8246415,5802659774.449922,4,2018,india
Peer-to-peer payments,404841331,887893108631.5127,1,2019,india
Recharge & bill payments,180504739,55473071028.878845,1,2019,india
Merchant payments,110496541,40575915112.522,1,2019,india
Financial Services,4627353,603852042.0000324,1,2019,india
Others,8526177,5484252454.820415,1,2019,india
Peer-to-peer payments,384711008,1196425281586.992,2,2019,india
Recharge & bill payments,209898072,76865848586.98372,2,2019,india
Merchant payments,206467182,73415840739.88434,2,2019,india
Financial Services,2650384,545329308.0899862,2,2019,india
Others,11656557,6969423863.8303385,2,2019,india
Peer-to-peer payments,461911865,1440512511470.7,3,2019,india
Merchant payments,376320628,123209398484.4437,3,2019,india
Recharge & bill payments,240103872,101520929811.0681,3,2019,india
Financial Services,2870292,617120839.9299941,3,2019,india
Others,13804992,6705143103.510092,3,2019,india
Peer-to-peer payments,703497002,1963952535223.0903,4,2019,india
Merchant payments,456578271,174239646473.03162,4,2019,india
Recharge & bill payments,285310032,116344996244.2673,4,2019,india
Financial Services,2476840,551204225.4200497,4,2019,india
Others,12583379,4811822509.649999,4,2019,india
Peer-to-peer payments,693998661,2320557268853.5933,1,2020,india
Merchant payments,566355270,231298042209.836,1,2020,india
Recharge & bill payments,351300991,140373550367.1558,1,2020,india
Financial Services,1358171,773848137.0300015,1,2020,india
Others,10027019,4116905195.8207293,1,2020,india
Peer-to-peer payments,631031364,2243915932390.771,2,2020,india
Recharge & bill payments,448842692,171590686463.1578,2,2020,india
Merchant payments,363275861,226908226049.5139,2,2020,india
Financial Services,1682062,1751767444.100008,2,2020,india
Others,3779461,1987466180.2098682,2,2020,india
Peer-to-peer payments,916790263,3287051873253.504,3,2020,india
Merchant payments,672019839,405291207894.2984,3,2020,india
Recharge & bill payments,436172619,204262355709.7218,3,2020,india
Financial Services,2531978,2673063432.960006,3,2020,india
Others,5541374,2789907563.650221,3,2020,india
Peer-to-peer payments,1249512647,4474548495095.518,4,2020,india
Merchant payments,1127490136,684873639322.252,4,2020,india
Recharge & bill payments,479784084,227875840842.11212,4,2020,india
Financial Services,2942567,3259168195.749941,4,2020,india
Others,9556404,5323095366.309718,4,2020,india
Merchant payments,1467948823,844466633896.8679,1,2021,india
Peer-to-peer payments,1447600942,5170856441552.582,1,2021,india
Recharge & bill payments,530118545,260182440730.43268,1,2021,india
Financial Services,3075296,3573884778.530081,1,2021,india
Others,8851525,5199901891.890038,1,2021,india
Peer-to-peer payments,1744272888,6163165772736.494,2,2021,india
Merchant payments,1499626469,1003530942287.598,2,2021,india
Recharge & bill payments,685024821,300559461295.9022,2,2021,india
Financial Services,3397384,3651996523.449995,2,2021,india
Others,9061732,5598131364.820071,2,2021,india
Merchant payments,2316924871,1426965558783.555,3,2021,india
Peer-to-peer payments,2215575286,7429357587018.912,3,2021,india
Recharge & bill payments,714583744,349234592690.4992,3,2021,india
Financial Services,3112160,4043342762.3300233,3,2021,india
Others,13558464,7146868847.289721,3,2021,india
Merchant payments,3152394530,1995855822160.6418,4,2021,india
Peer-to-peer payments,2716561423,9203910371491.78,4,2021,india
Recharge & bill payments,738096162,407266894783.1069,4,2021,india
Financial Services,4141629,5028434834.240034,4,2021,india
Others,14562602,9296993478.869577,4,2021,india
Merchant payments,3748851071,2272818129376.52,1,2022,india
Peer-to-peer payments,3074250150,10505936803336.92,1,2022,india
Recharge & bill payments,749674246,447599848131.4118,1,2022,india
Financial Services,4035100,4921211866.489969,1,2022,india
Others,16393502,8422766458.459174,1,2022,india
Merchant payments,4765203787,2847096877386.341,2,2022,india
Peer-to-peer payments,3506141323,12123524700463.531,2,2022,india
Recharge & bill payments,845751926,523046092987.9396,2,2022,india
Financial Services,3272822,3889787479.819907,2,2022,india
Others,11241480,6711034131.160171,2,2022,india
Merchant payments,5618132071,3151614767860.314,3,2022,india
Peer-to-peer payments,3957113406,12837803371386.291,3,2022,india
Recharge & bill payments,956164949,607048699730.3645,3,2022,india
Financial Services,3959631,4514223164.469998,3,2022,india
Others,10005043,6725900102.770244,3,2022,india
Merchant payments,6565690145,3673601044800.037,4,2022,india
Peer-to-peer payments,4459859921,14578874324207.22,4,2022,india
Recharge & bill payments,991049281,649776847580.25,4,2022,india
Financial Services,4623387,5360528394.309982,4,2022,india
Others,10013085,7361492606.590162,4,2022,india
Recharge & bill payments,457813,78812610.35129012,1,2018,jammu-&-kashmir
Peer-to-peer payments,353621,861670157.9310012,1,2018,jammu-&-kashmir
Financial Services,65683,10269382.6199755,1,2018,jammu-&-kashmir
Merchant payments,28696,30967525.638810232,1,2018,jammu-&-kashmir
Others,35755,23651562.71504996,1,2018,jammu-&-kashmir
Recharge & bill payments,794502,166762242.9171875,2,2018,jammu-&-kashmir
Peer-to-peer payments,771844,2372961687.553617,2,2018,jammu-&-kashmir
Financial Services,112422,15636116.81386063,2,2018,jammu-&-kashmir
Merchant payments,79248,64454257.5252622,2,2018,jammu-&-kashmir
Others,38310,31391931.69294626,2,2018,jammu-&-kashmir
Peer-to-peer payments,1260453,3616022745.564584,3,2018,jammu-&-kashmir
Recharge & bill payments,822143,203079955.34644002,3,2018,jammu-&-kashmir
Merchant payments,140076,82826475.18797052,3,2018,jammu-&-kashmir
Financial Services,44464,6397888.3546260595,3,2018,jammu-&-kashmir
Others,36825,26373935.004048537,3,2018,jammu-&-kashmir
Peer-to-peer payments,1265457,5151829745.262983,4,2018,jammu-&-kashmir
Recharge & bill payments,970724,254473764.0023316,4,2018,jammu-&-kashmir
Merchant payments,402303,215771001.5429565,4,2018,jammu-&-kashmir
Financial Services,33775,6072177.152358056,4,2018,jammu-&-kashmir
Others,49051,36573577.73688933,4,2018,jammu-&-kashmir
Peer-to-peer payments,1913720,5414709531.836735,1,2019,jammu-&-kashmir
Recharge & bill payments,1131953,302663112.8884805,1,2019,jammu-&-kashmir
Merchant payments,452379,199219534.93760532,1,2019,jammu-&-kashmir
Financial Services,43247,4593545.201922052,1,2019,jammu-&-kashmir
Others,43688,30649751.656273108,1,2019,jammu-&-kashmir
Peer-to-peer payments,1180781,5666318253.462076,2,2019,jammu-&-kashmir
Recharge & bill payments,706569,215937468.94414753,2,2019,jammu-&-kashmir
Merchant payments,353678,188931529.48823643,2,2019,jammu-&-kashmir
Financial Services,22663,2652961.353697454,2,2019,jammu-&-kashmir
Others,32664,26301988.315348372,2,2019,jammu-&-kashmir
Peer-to-peer payments,618694,3499425217.958209,3,2019,jammu-&-kashmir
Recharge & bill payments,318061,111964437.03321171,3,2019,jammu-&-kashmir
Merchant payments,165115,120736230.0888475,3,2019,jammu-&-kashmir
Financial Services,2895,658515.8825482852,3,2019,jammu-&-kashmir
Others,11761,11446090.81965122,3,2019,jammu-&-kashmir
Peer-to-peer payments,310620,1799955855.971491,4,2019,jammu-&-kashmir
Merchant payments,91303,77859073.82317376,4,2019,jammu-&-kashmir
Recharge & bill payments,84803,49065907.045780964,4,2019,jammu-&-kashmir
Financial Services,197,213741.2862032762,4,2019,jammu-&-kashmir
Others,3005,2601419.6959477984,4,2019,jammu-&-kashmir
Peer-to-peer payments,435154,2654638582.0865793,1,2020,jammu-&-kashmir
Recharge & bill payments,341357,144213068.7120203,1,2020,jammu-&-kashmir
Merchant payments,135241,131144418.9650335,1,2020,jammu-&-kashmir
Financial Services,2350,2116665.1182805505,1,2020,jammu-&-kashmir
Others,7528,5530441.652102945,1,2020,jammu-&-kashmir
Peer-to-peer payments,1238380,7426818530.258213,2,2020,jammu-&-kashmir
Recharge & bill payments,1028741,413037418.32063264,2,2020,jammu-&-kashmir
Merchant payments,341375,403026357.7674071,2,2020,jammu-&-kashmir
Financial Services,9130,10415041.341445921,2,2020,jammu-&-kashmir
Others,17380,12351591.570849748,2,2020,jammu-&-kashmir
Peer-to-peer payments,1787154,10837119046.792648,3,2020,jammu-&-kashmir
Recharge & bill payments,1005745,443743222.50064695,3,2020,jammu-&-kashmir
Merchant payments,642688,667957476.4350253,3,2020,jammu-&-kashmir
Financial Services,10111,13281733.802213531,3,2020,jammu-&-kashmir
Others,20200,15128281.341935562,3,2020,jammu-&-kashmir
Peer-to-peer payments,2378539,13736841259.97928,4,2020,jammu-&-kashmir
Recharge & bill payments,1900075,536741118.3019938,4,2020,jammu-&-kashmir
Merchant payments,1377786,1045006123.459636,4,2020,jammu-&-kashmir
Financial Services,13578,17966592.69746909,4,2020,jammu-&-kashmir
Others,84466,44350708.939814664,4,2020,jammu-&-kashmir
Peer-to-peer payments,2800201,14801220301.14875,1,2021,jammu-&-kashmir
Recharge & bill payments,2554798,663747765.6760966,1,2021,jammu-&-kashmir
Merchant payments,1527253,1605408313.478133,1,2021,jammu-&-kashmir
Financial Services,17276,20848657.8594191,1,2021,jammu-&-kashmir
Others,98042,47124854.98932911,1,2021,jammu-&-kashmir
Peer-to-peer payments,3955437,19502438177.8094,2,2021,jammu-&-kashmir
Recharge & bill payments,3568970,892467613.5545957,2,2021,jammu-&-kashmir
Merchant payments,2378307,2343370985.582228,2,2021,jammu-&-kashmir
Financial Services,19432,21897796.18705631,2,2021,jammu-&-kashmir
Others,105673,53580855.45836207,2,2021,jammu-&-kashmir
Peer-to-peer payments,5621108,26562997915.198593,3,2021,jammu-&-kashmir
Recharge & bill payments,4192099,1126801385.0108972,3,2021,jammu-&-kashmir
Merchant payments,3197489,3818849262.990345,3,2021,jammu-&-kashmir
Financial Services,16071,27585395.493344463,3,2021,jammu-&-kashmir
Others,124274,62209689.3389434,3,2021,jammu-&-kashmir
Peer-to-peer payments,6852001,31444247707.63007,4,2021,jammu-&-kashmir
Merchant payments,5399465,6026170895.591109,4,2021,jammu-&-kashmir
Recharge & bill payments,4358892,1334473410.437731,4,2021,jammu-&-kashmir
Financial Services,20269,34425387.51761782,4,2021,jammu-&-kashmir
Others,160001,86920024.59513803,4,2021,jammu-&-kashmir
Peer-to-peer payments,6263588,25881919928.64283,1,2022,jammu-&-kashmir
Merchant payments,5769426,5903944370.148529,1,2022,jammu-&-kashmir
Recharge & bill payments,4046350,1253753685.61249,1,2022,jammu-&-kashmir
Financial Services,20506,28915576.11929956,1,2022,jammu-&-kashmir
Others,145441,79330065.6359112,1,2022,jammu-&-kashmir
Merchant payments,9917899,8541811640.294409,2,2022,jammu-&-kashmir
Peer-to-peer payments,8948548,35973490940.6326,2,2022,jammu-&-kashmir
Recharge & bill payments,4759941,1631580783.915923,2,2022,jammu-&-kashmir
Financial Services,17495,23857762.10049466,2,2022,jammu-&-kashmir
Others,169864,83549709.69216739,2,2022,jammu-&-kashmir
Merchant payments,9594459,8056512904.5609255,3,2022,jammu-&-kashmir
Peer-to-peer payments,8391981,31280124357.94366,3,2022,jammu-&-kashmir
Recharge & bill payments,4397779,1538833023.807197,3,2022,jammu-&-kashmir
Financial Services,16502,21281997.61037215,3,2022,jammu-&-kashmir
Others,133673,66802218.326068155,3,2022,jammu-&-kashmir
Merchant payments,13060020,9463119176.82875,4,2022,jammu-&-kashmir
Peer-to-peer payments,9209773,33017162449.59025,4,2022,jammu-&-kashmir
Recharge & bill payments,4885856,1738113554.24513,4,2022,jammu-&-kashmir
Financial Services,17803,26804683.92881795,4,2022,jammu-&-kashmir
Others,142706,70096050.90090424,4,2022,jammu-&-kashmir
Recharge & bill payments,1095857,132181815.28422521,1,2018,jharkhand
Peer-to-peer payments,809459,2036315435.6551178,1,2018,jharkhand
Financial Services,107755,45483178.104925826,1,2018,jharkhand
Merchant payments,66299,66465337.511485815,1,2018,jharkhand
Others,99551,93740623.36363094,1,2018,jharkhand
Recharge & bill payments,1398777,208894647.78855112,2,2018,jharkhand
Peer-to-peer payments,1375872,4205862516.7774906,2,2018,jharkhand
Financial Services,160637,65554548.24621317,2,2018,jharkhand
Merchant payments,130339,138889079.1612477,2,2018,jharkhand
Others,86455,102374867.0893502,2,2018,jharkhand
Peer-to-peer payments,6003688,8142915751.203349,3,2018,jharkhand
Recharge & bill payments,1539476,256930062.2034769,3,2018,jharkhand
Merchant payments,287427,155059935.0403524,3,2018,jharkhand
Financial Services,216343,38182603.57787939,3,2018,jharkhand
Others,75687,68483065.67956133,3,2018,jharkhand
Peer-to-peer payments,3325473,9414019816.80093,4,2018,jharkhand
Recharge & bill payments,1885135,328077093.47845775,4,2018,jharkhand
